terminal_id,tanggal,jumlah_kontainer,NON MITA,MITA,HIJAU,MERAH,KUNING,NON,BORDER,POST-BORDER,BORDER_POST-BORDER,lartas N,lartas Y,lartas NA,KARANTINA TUMBUHAN,KARANTINA HEWAN,KARANTINA IKAN,PRENO,NON_PRENO,avg_dt
JICT,2018-05-30,2301,1524,777,2163,86,52,828,938,487,48,1311,990,2092,151,58,0,641,1660,4.22
JICT,2018-05-31,1033,801,232,940,46,47,523,253,250,7,773,260,957,67,8,1,568,465,3.71
JICT,2018-06-01,1069,956,113,975,84,10,217,304,512,36,729,340,1025,29,14,1,194,875,4.10
JICT,2018-06-02,1262,963,299,1152,71,39,373,321,518,50,891,371,1203,37,20,2,186,1076,4.34
JICT,2018-06-03,1148,872,276,1091,29,28,388,400,270,90,658,490,889,173,80,6,278,870,4.43
JICT,2018-06-04,683,516,167,645,11,27,233,187,253,10,486,197,656,15,12,0,200,483,2.86
JICT,2018-06-05,1795,1460,335,1577,143,75,747,518,512,18,1259,536,1590,187,9,9,763,1032,2.61
JICT,2018-06-06,646,579,67,599,29,18,199,222,144,81,343,303,579,25,20,22,399,247,1.67
JICT,2018-06-07,1066,741,325,992,35,39,366,380,203,117,568,498,762,185,116,3,648,418,4.76
JICT,2018-06-08,826,668,158,786,31,9,284,361,122,59,406,420,628,151,42,5,359,467,30.12
JICT,2018-06-09,653,513,140,634,14,5,140,339,123,51,262,391,509,95,49,0,311,342,20.84
JICT,2018-06-10,715,486,229,692,10,13,222,245,212,36,434,281,571,109,34,1,296,419,8.73
JICT,2018-06-11,148,110,38,139,8,1,51,51,27,19,78,70,108,21,19,0,33,115,8.49
JICT,2018-06-13,94,77,17,86,6,2,63,21,4,6,66,28,92,1,1,0,0,94,11.04
JICT,2018-06-16,102,92,10,70,6,26,54,37,9,2,62,40,83,13,0,6,11,91,15.82
JICT,2018-06-17,759,505,254,681,40,38,318,179,243,19,554,205,685,55,16,3,20,739,9.17
JICT,2018-06-18,53,47,6,48,2,3,26,1,26,0,50,3,52,1,0,0,0,53,9.86
JICT,2018-06-21,1403,1272,131,1263,91,49,569,174,640,20,1190,213,1356,9,22,16,48,1355,7.37
JICT,2018-06-22,336,298,38,292,38,6,128,90,94,24,206,130,315,19,2,0,35,301,7.72
JICT,2018-06-23,969,876,93,909,44,16,335,380,201,53,523,446,797,147,25,0,132,837,31.11
JICT,2018-06-24,1151,848,303,955,173,23,461,286,302,102,745,406,940,182,29,0,109,1042,7.14
JICT,2018-06-25,946,810,136,812,78,56,497,222,221,6,694,252,922,15,0,9,123,823,5.33
JICT,2018-06-26,371,319,52,317,38,16,235,45,91,0,323,48,371,0,0,0,160,211,3.94
JICT,2018-06-27,1414,1233,181,1012,356,46,397,243,657,117,998,416,1227,111,72,4,345,1069,4.91
JICT,2018-06-28,1874,1526,348,1640,188,46,833,532,433,76,1236,638,1791,69,10,4,217,1657,4.90
JICT,2018-06-29,1626,1395,231,1349,214,63,799,190,579,58,1339,287,1473,100,3,50,509,1117,4.71
JICT,2018-06-30,3106,2449,657,2609,352,145,1436,677,930,63,2289,817,2912,147,44,3,920,2186,6.49
JICT,2018-07-01,2463,1754,709,2243,133,87,876,876,617,94,1447,1016,2111,246,106,0,399,2064,5.56
JICT,2018-07-02,794,598,196,703,53,38,546,98,149,1,637,157,780,9,1,4,292,502,3.65
JICT,2018-07-03,1605,1239,366,1311,216,78,1026,208,323,48,1293,312,1492,77,34,2,397,1208,4.24
JICT,2018-07-04,2446,2012,434,2152,240,54,775,991,534,146,1267,1179,1847,474,125,0,966,1480,3.93
JICT,2018-07-05,1856,1448,408,1673,136,47,734,665,396,61,1083,773,1648,169,36,3,868,988,8.25
JICT,2018-07-06,2752,2305,447,2255,352,145,1445,231,1000,76,2325,427,2654,83,5,10,1267,1485,4.50
JICT,2018-07-07,1962,1589,373,1789,127,46,776,497,657,32,1405,557,1770,171,21,0,882,1080,8.62
JICT,2018-07-08,1019,505,514,968,44,7,216,502,199,102,393,626,709,274,34,2,113,906,4.35
JICT,2018-07-09,1772,1489,283,1591,95,86,663,715,348,46,934,838,1437,272,60,3,360,1412,20.62
JICT,2018-07-10,2047,1666,381,1737,214,96,971,192,816,68,1724,323,1928,109,10,0,549,1498,4.27
JICT,2018-07-11,2874,2042,832,2480,271,123,1201,811,808,54,1842,1032,2536,272,35,31,1034,1840,3.46
JICT,2018-07-12,1620,1277,343,1429,140,51,628,373,588,31,1124,496,1575,31,14,0,1070,550,2.12
JICT,2018-07-13,1265,1112,153,980,206,79,414,246,561,44,906,359,1189,55,9,12,700,565,4.97
JICT,2018-07-14,3450,2753,697,2964,315,171,1100,1095,1174,81,2193,1257,3111,306,31,2,1622,1828,7.11
JICT,2018-07-15,1572,828,744,1474,67,31,311,969,244,48,537,1035,1284,262,26,0,191,1381,10.45
JICT,2018-07-16,2083,1694,389,1752,253,78,820,286,865,112,1567,516,1938,120,7,18,804,1279,2.88
JICT,2018-07-17,1604,1352,252,1396,153,55,769,159,656,20,1381,223,1532,49,19,4,775,829,2.63
JICT,2018-07-18,2211,1282,929,2058,120,33,625,1092,481,13,1066,1145,1892,268,47,4,933,1278,3.88
JICT,2018-07-19,1941,1626,315,1604,182,155,881,217,773,70,1602,339,1791,116,28,6,776,1165,3.19
JICT,2018-07-20,1649,1454,195,1425,159,65,688,182,752,27,1296,353,1526,90,23,10,751,898,3.40
JICT,2018-07-21,2020,1733,287,1731,197,92,708,415,856,41,1488,532,1902,87,30,1,840,1180,4.04
JICT,2018-07-22,1693,1026,667,1422,191,80,669,570,341,113,974,719,1464,179,50,0,364,1329,3.63
JICT,2018-07-23,892,665,227,736,97,59,420,197,233,42,611,281,810,79,3,0,206,686,2.90
JICT,2018-07-24,1951,1634,314,1740,145,66,798,424,689,40,1391,560,1934,14,3,0,894,1057,2.94
JICT,2018-07-25,2853,1900,953,2680,101,72,721,1598,459,75,1119,1734,2392,415,43,3,1412,1441,2.64
JICT,2018-07-26,2136,1791,345,1885,174,77,808,330,909,89,1666,470,2004,105,26,1,1096,1040,2.67
JICT,2018-07-27,1863,1610,253,1460,191,212,871,175,729,88,1563,300,1745,114,4,0,981,882,3.41
JICT,2018-07-28,2621,2262,359,2302,208,111,941,842,693,145,1607,1014,2286,271,59,5,878,1743,4.49
JICT,2018-07-29,2490,1722,768,2296,151,43,546,974,876,94,1398,1092,2160,271,57,2,485,2005,4.01
JICT,2018-07-30,864,672,192,738,94,32,357,160,304,43,659,205,735,97,32,0,310,554,2.64
JICT,2018-07-31,1625,1258,367,1369,174,82,775,188,638,24,1411,214,1611,12,1,1,702,923,2.98
JICT,2018-08-01,1787,1255,532,1675,60,52,615,821,289,62,904,883,1529,203,50,5,779,1008,2.61
JICT,2018-08-02,1606,1226,380,1437,130,39,635,263,688,20,1323,283,1525,73,4,4,889,717,2.21
JICT,2018-08-03,2773,2159,614,2319,331,123,1030,638,1020,85,2050,723,2578,167,16,12,1442,1331,3.69
JICT,2018-08-04,3395,2918,477,2896,290,209,1314,555,1493,33,2807,588,3249,107,34,5,1756,1639,3.61
JICT,2018-08-05,1050,447,603,1031,16,3,75,627,277,71,352,698,802,159,89,0,226,824,2.93
JICT,2018-08-06,752,653,99,621,65,66,384,179,180,9,564,188,721,24,7,0,200,552,3.09
JICT,2018-08-07,1397,965,432,1319,51,27,637,268,441,51,1078,319,1371,23,0,3,414,983,2.33
JICT,2018-08-08,1295,1125,170,1047,223,25,470,261,363,201,833,462,993,251,33,18,538,757,3.17
JICT,2018-08-09,1773,1396,377,1599,117,57,622,698,374,79,996,777,1653,67,49,4,878,895,2.57
JICT,2018-08-10,1424,1298,124,1116,207,101,547,54,753,70,1300,124,1337,74,5,8,531,893,4.30
JICT,2018-08-11,2222,1600,595,2024,113,85,716,777,666,63,1382,840,1956,172,74,20,643,1579,3.65
JICT,2018-08-12,1371,745,626,1307,39,25,303,628,388,52,691,680,1201,110,60,0,285,1086,2.84
JICT,2018-08-13,1779,1484,295,1523,185,71,716,190,734,139,1450,329,1569,183,27,0,475,1304,3.19
JICT,2018-08-14,2419,1879,538,2100,201,118,1116,398,746,159,1862,557,2330,62,25,2,787,1632,3.98
JICT,2018-08-15,2568,2043,524,2259,219,90,912,946,644,66,1556,1012,2257,251,52,8,1370,1198,3.85
